file,group,return_period,SLR
Hazards/Coastal/penama_province/FloodDepth_penama_25_0.8.tif,penama,25,0.8
Hazards/Coastal/penama_province/FloodDepth_penama_25_0.9.tif,penama,25,0.9
Hazards/Coastal/penama_province/FloodDepth_penama_25_0.tif,penama,25,0
Hazards/Coastal/penama_province/FloodDepth_penama_25_1.0.tif,penama,25,1.0
Hazards/Coastal/penama_province/FloodDepth_penama_25_1.1.tif,penama,25,1.1
Hazards/Coastal/penama_province/FloodDepth_penama_25_1.2.tif,penama,25,1.2
Hazards/Coastal/penama_province/FloodDepth_penama_25_1.3.tif,penama,25,1.3
Hazards/Coastal/penama_province/FloodDepth_penama_25_1.4.tif,penama,25,1.4
Hazards/Coastal/penama_province/FloodDepth_penama_25_1.5.tif,penama,25,1.5
Hazards/Coastal/penama_province/FloodDepth_penama_25_1.6.tif,penama,25,1.6
Hazards/Coastal/penama_province/FloodDepth_penama_25_1.7.tif,penama,25,1.7
Hazards/Coastal/penama_province/FloodDepth_penama_25_1.8.tif,penama,25,1.8
Hazards/Coastal/penama_province/FloodDepth_penama_25_1.9.tif,penama,25,1.9
Hazards/Coastal/penama_province/FloodDepth_penama_25_2.0.tif,penama,25,2.0
Hazards/Coastal/penama_province/FloodDepth_penama_50_0.1.tif,penama,50,0.1
Hazards/Coastal/penama_province/FloodDepth_penama_50_0.2.tif,penama,50,0.2
Hazards/Coastal/penama_province/FloodDepth_penama_50_0.3.tif,penama,50,0.3
Hazards/Coastal/penama_province/FloodDepth_penama_50_0.4.tif,penama,50,0.4
Hazards/Coastal/penama_province/FloodDepth_penama_50_0.5.tif,penama,50,0.5
Hazards/Coastal/penama_province/FloodDepth_penama_50_0.6.tif,penama,50,0.6
Hazards/Coastal/penama_province/FloodDepth_penama_50_0.7.tif,penama,50,0.7
Hazards/Coastal/penama_province/FloodDepth_penama_50_0.8.tif,penama,50,0.8
Hazards/Coastal/penama_province/FloodDepth_penama_50_0.9.tif,penama,50,0.9
Hazards/Coastal/penama_province/FloodDepth_penama_50_0.tif,penama,50,0
Hazards/Coastal/penama_province/FloodDepth_penama_50_1.0.tif,penama,50,1.0
Hazards/Coastal/penama_province/FloodDepth_penama_50_1.1.tif,penama,50,1.1
Hazards/Coastal/penama_province/FloodDepth_penama_50_1.2.tif,penama,50,1.2
Hazards/Coastal/penama_province/FloodDepth_penama_50_1.3.tif,penama,50,1.3
Hazards/Coastal/penama_province/FloodDepth_penama_50_1.4.tif,penama,50,1.4
Hazards/Coastal/penama_province/FloodDepth_penama_50_1.5.tif,penama,50,1.5
Hazards/Coastal/penama_province/FloodDepth_penama_50_1.6.tif,penama,50,1.6
Hazards/Coastal/penama_province/FloodDepth_penama_50_1.7.tif,penama,50,1.7
Hazards/Coastal/penama_province/FloodDepth_penama_50_1.8.tif,penama,50,1.8
Hazards/Coastal/penama_province/FloodDepth_penama_50_1.9.tif,penama,50,1.9
Hazards/Coastal/penama_province/FloodDepth_penama_5_0.1.tif,penama,5,0.1
Hazards/Coastal/penama_province/FloodDepth_penama_50_2.0.tif,penama,50,2.0
Hazards/Coastal/penama_province/FloodDepth_penama_5_0.2.tif,penama,5,0.2
Hazards/Coastal/penama_province/FloodDepth_penama_5_0.3.tif,penama,5,0.3
